date,r712-4e85_temp,r712-4e85_humidity,r712-a7f7_temp,r712-a7f7_humidity,r712-a7f8_temp,r712-a7f8_humidity,r712-a7f9_temp,r712-a7f9_humidity
2022-01-01 00:00:00,22.88,49.24,15.779210803870317,70.79390562663363,15.712069186418962,70.31256758488149,15.96955926171164,70.10689248468798
2022-01-01 01:00:00,22.88,49.24,15.779210803870317,70.79390562663363,26.23,41.05,25.16,43.61
2022-01-01 02:00:00,22.88,49.24,30.16,31.0,29.48,30.78,29.49,32.46
2022-01-01 03:00:00,33.12,28.45,32.2,27.87,31.13,28.74,31.22,29.03
2022-01-01 04:00:00,34.32,25.92,34.38,25.12,33.44,25.75,34.34,25.7
2022-01-01 05:00:00,36.22,23.03,35.92,22.25,35.08,23.29,35.83,23.08
2022-01-01 06:00:00,31.634999999999998,31.66,37.35,18.32,31.072000000000003,29.921999999999997,37.09,18.51
2022-01-01 07:00:00,27.62,42.13,27.56,45.7,28.52,43.63,32.94,32.19
2022-01-01 08:00:00,27.09,44.61,26.42,46.84,26.26,49.76,27.32,43.4
2022-01-01 09:00:00,28.03,41.84,27.63,42.21,27.35,42.06,27.5,43.55
2022-01-01 10:00:00,29.897142857142857,36.46,28.67,37.63,28.87,36.29,28.49,37.4
2022-01-01 11:00:00,29.897142857142857,36.46,26.77,40.49,26.81,40.09,27.0,40.16
2022-01-01 12:00:00,28.66,34.48,28.41,34.9,28.32,34.79,27.93,37.81
2022-01-01 13:00:00,29.0,30.46,28.86,30.48,29.0,29.1,28.91,29.36
2022-01-01 14:00:00,25.2,47.97,25.93,48.82,29.2075,35.444166666666675,26.83,40.79
2022-01-01 15:00:00,25.4,44.7,25.56,44.35,29.2075,35.444166666666675,25.34,45.11
2022-01-01 16:00:00,25.34,44.96,25.16,45.81,25.3,45.14,29.692666666666664,34.81066666666667
2022-01-01 17:00:00,24.61,50.94,24.59,51.21,24.45,51.41,24.54,51.0
2022-01-01 18:00:00,24.07,50.38,24.16,50.35,24.04,50.87,23.97,51.27
2022-01-01 19:00:00,23.35,49.16,23.65,49.3,23.55,49.42,23.57,49.86
2022-01-01 20:00:00,23.11,48.51,23.18,48.0,23.34,47.47,23.46,47.18
2022-01-01 21:00:00,23.47,46.7,23.48,46.44,23.46,45.88,23.55,45.56
2022-01-01 22:00:00,22.85,47.16,22.94,46.59,22.97,46.23,22.79,46.98
2022-01-01 23:00:00,26.90777777777778,41.70222222222222,23.1,46.95,23.18,46.38,22.91,46.52
2022-01-02 00:00:00,22.99,47.59,22.94,47.19,22.99,46.79,22.77,47.2
2022-01-02 01:00:00,23.94,47.25,23.61,46.89,23.52,46.72,23.26,47.31
2022-01-02 02:00:00,26.563500000000005,42.274,24.89,43.38,24.78,42.6,27.342083333333335,39.79333333333333
2022-01-02 03:00:00,26.563500000000005,42.274,25.96,41.36,25.57,42.15,25.57,42.07
2022-01-02 04:00:00,26.92,39.91,26.54,39.58,26.29,39.15,26.32,39.33
2022-01-02 05:00:00,28.7,38.18,28.46,36.67,27.46,38.33,27.51,36.57
2022-01-02 06:00:00,28.21,41.48,27.19,41.97,26.61,42.08,27.35,41.6
2022-01-02 07:00:00,26.743478260869573,41.95869565217391,30.31,34.13,29.52,35.08,30.13,36.1
2022-01-02 08:00:00,25.21,53.97,25.09,54.09,24.59,57.3,25.89,50.73
2022-01-02 09:00:00,23.59,60.75,22.96,64.33,22.99,65.3,23.32,62.37
2022-01-02 10:00:00,22.53,66.65,21.72,68.93,22.09,69.9,22.26,68.12
2022-01-02 11:00:00,22.53,61.19,21.77,63.59,21.58,63.9,21.08,65.55
2022-01-02 12:00:00,21.11,65.41,20.69,68.46,20.54,69.74,20.99,68.89
2022-01-02 13:00:00,20.27,67.9,26.520285714285716,43.748571428571424,19.63,71.44,19.78,71.4
2022-01-02 14:00:00,25.87379310344827,46.238620689655185,26.520285714285716,43.748571428571424,19.21,77.06,19.1,77.57
2022-01-02 15:00:00,19.41,73.71,19.39,74.56,19.25,75.95,19.14,76.08
2022-01-02 16:00:00,19.2,73.71,18.98,74.54,18.87,75.82,19.01,75.27
2022-01-02 17:00:00,18.77,75.52,18.61,76.3,18.54,77.76,18.44,77.29
2022-01-02 18:00:00,17.43,77.26,17.42,79.01,25.12657894736842,48.5578947368421,17.41,80.25
2022-01-02 19:00:00,17.78,74.11,17.75,74.26,17.7,74.61,17.49,76.84
2022-01-02 20:00:00,17.29,72.42,17.26,72.77,17.33,73.03,17.33,73.94
2022-01-02 21:00:00,17.24,70.21,17.2,70.32,17.17,70.85,17.15,71.37
2022-01-02 22:00:00,24.373888888888885,51.60722222222223,17.23,68.37,24.56121951219512,50.33390243902439,17.02,69.4
2022-01-02 23:00:00,24.373888888888885,51.60722222222223,17.24,68.76,17.21,68.84,17.05,69.02
2022-01-03 00:00:00,16.76,70.15,16.81,69.99,16.81,70.1,16.78,70.38
2022-01-03 01:00:00,17.67,67.25,17.17,67.7,17.14,67.76,16.95,68.81
2022-01-03 02:00:00,23.99710526315789,52.50684210526316,18.24,63.12,17.84,64.09,17.97,63.85
2022-01-03 03:00:00,23.99710526315789,52.50684210526316,18.67,62.77,18.18,64.23,18.36,63.31
2022-01-03 04:00:00,20.04,60.14,19.19,61.24,18.56,63.53,18.66,63.08
2022-01-03 05:00:00,20.24,58.0,20.29,57.6,18.85,60.09,19.82,58.79
2022-01-03 06:00:00,23.804250000000003,52.834999999999994,19.63,57.51,19.03,59.85,19.23,57.95
2022-01-03 07:00:00,23.804250000000003,52.834999999999994,20.04,55.99,19.27,58.12,20.53,56.82
2022-01-03 08:00:00,20.24,56.02,20.18,55.49,19.87,56.24,19.72,56.83
2022-01-03 09:00:00,19.48,57.83,19.46,57.26,19.03,59.83,19.07,59.11
2022-01-03 10:00:00,19.9,57.48,19.1,58.66,18.69,60.16,18.65,60.51
2022-01-03 11:00:00,19.09,58.44,18.75,58.99,18.19,60.61,18.18,60.51
2022-01-03 12:00:00,18.98,59.52,18.03,61.88,18.01,62.73,17.85,62.51
2022-01-03 13:00:00,17.82,63.94,17.38,66.36,17.3,67.96,17.41,65.81
2022-01-03 14:00:00,23.210434782608697,53.62239130434782,17.36,68.42,17.24,70.08,17.2,69.0
2022-01-03 15:00:00,17.57,67.29,17.64,68.12,17.57,68.4,17.43,68.93
2022-01-03 16:00:00,17.58,67.19,23.1205,53.01983333333333,17.4,67.07,17.32,67.51
2022-01-03 17:00:00,17.4,69.95,17.34,70.84,17.26,71.18,17.16,71.17
2022-01-03 18:00:00,22.861836734693878,54.51142857142856,16.99,73.32,16.97,73.88,16.95,73.39
2022-01-03 19:00:00,17.1,73.75,17.02,74.05,16.95,74.68,16.81,74.89
2022-01-03 20:00:00,17.19,75.07,17.16,75.12,17.12,74.85,17.01,75.47
2022-01-03 21:00:00,17.03,78.18,16.95,78.96,17.02,79.19,16.74,79.59
2022-01-03 22:00:00,16.75,77.75,16.68,78.21,16.84,77.96,16.67,79.63
2022-01-03 23:00:00,16.45,79.81,16.38,79.76,16.4,80.48,22.323823529411765,56.06838235294117
2022-01-04 00:00:00,22.310185185185187,56.585555555555544,17.02,81.14,17.04,81.21,16.77,81.86
2022-01-04 01:00:00,17.78,78.69,17.65,78.88,17.7,78.39,17.54,79.83
2022-01-04 02:00:00,22.227818181818183,56.98745454545453,18.03,78.0,17.97,77.76,17.81,79.22
2022-01-04 03:00:00,22.227818181818183,56.98745454545453,18.57,75.05,18.49,74.74,18.34,76.89
2022-01-04 04:00:00,22.227818181818183,56.98745454545453,18.79,74.06,18.77,73.41,18.7,74.88
2022-01-04 05:00:00,19.48,74.39,19.16,74.69,18.97,74.71,18.89,74.96
2022-01-04 06:00:00,22.178750000000004,57.29821428571428,19.13,76.54,18.93,77.28,18.83,76.98
2022-01-04 07:00:00,21.17,72.58,20.56,72.14,19.96,75.57,19.85,75.52
2022-01-04 08:00:00,21.33,74.0,20.64,75.13,20.1,76.24,20.3,74.59
2022-01-04 09:00:00,21.67,74.91,21.22,75.97,20.67,77.31,20.75,77.38
2022-01-04 10:00:00,22.0,75.65,21.5,76.2,21.23,78.43,20.85,79.16
2022-01-04 11:00:00,22.36,75.8,22.38,75.56,21.89,76.95,21.63,77.9
2022-01-04 12:00:00,22.24,75.04,22.15,74.82,22.15,74.88,22.27,75.66
2022-01-04 13:00:00,21.88,76.24,21.74,76.46,21.75,77.04,21.72,77.21
2022-01-04 14:00:00,22.51,72.33,22.4,72.07,22.5,71.79,22.51,72.66
2022-01-04 15:00:00,22.143281249999998,59.45703125,21.59,73.51,21.71,73.58,21.56,73.85
2022-01-04 16:00:00,21.09,76.21,21.05,76.37,21.17,75.66,21.24,76.04
2022-01-04 17:00:00,20.82,77.33,20.78,77.16,20.93,77.34,20.75,78.31
2022-01-04 18:00:00,22.107272727272722,59.98166666666667,20.42,78.78,20.51,78.85,20.27,79.49
2022-01-04 19:00:00,22.107272727272722,59.98166666666667,20.28,79.16,20.27,79.45,21.822988505747126,60.63264367816092
2022-01-04 20:00:00,22.107272727272722,59.98166666666667,20.25,78.67,20.26,78.68,20.13,79.81
2022-01-04 21:00:00,20.51,79.73,20.25,80.21,20.47,79.62,20.33,80.52
2022-01-04 22:00:00,20.41,81.0,20.23,81.42,20.38,81.05,20.22,82.14
2022-01-04 23:00:00,22.05882352941176,60.58117647058824,20.19,81.88,20.37,81.22,20.23,82.59
2022-01-05 00:00:00,22.05882352941176,60.58117647058824,21.88714285714286,61.04747252747252,20.34,81.67,20.13,83.43
2022-01-05 01:00:00,21.61,79.18,21.39,79.57,21.21,79.59,20.85,81.76
2022-01-05 02:00:00,22.052318840579705,60.85072463768117,21.74,77.77,21.77,77.59,21.7,78.89
2022-01-05 03:00:00,22.052318840579705,60.85072463768117,22.7,75.51,22.56,75.56,22.42,77.02
2022-01-05 04:00:00,23.4,72.71,23.06,73.39,23.07,72.94,21.732736842105265,62.328421052631604
2022-01-05 05:00:00,23.73,71.66,23.31,72.24,23.38,72.17,23.18,73.08
2022-01-05 06:00:00,25.92,65.1,25.44,65.56,25.23,66.1,25.3,66.18
2022-01-05 07:00:00,26.87,62.05,26.51,61.63,26.42,62.06,26.21,63.46
2022-01-05 08:00:00,28.06,58.15,27.76,57.68,27.42,58.02,21.829591836734696,62.48897959183674
2022-01-05 09:00:00,28.41,54.93,28.1,54.74,27.87,54.32,27.99,55.72
2022-01-05 10:00:00,28.93,52.33,27.84,52.4,27.43,52.2,27.25,53.86
2022-01-05 11:00:00,28.46,50.9,28.15,49.76,28.1,49.54,28.12,49.88
2022-01-05 12:00:00,27.62,50.4,27.52,49.97,27.63,49.56,22.006534653465344,62.21168316831683
2022-01-05 13:00:00,25.89,55.64,26.46,52.08,26.91,48.94,26.83,50.33
2022-01-05 14:00:00,22.644303797468357,60.66544303797468,23.34,65.73,23.39,66.21,23.35,66.24
2022-01-05 15:00:00,22.6,68.07,22.333809523809524,61.36523809523809,22.59,68.99,22.62,69.01
2022-01-05 16:00:00,21.54,70.89,21.57,71.01,21.56,71.44,21.52,71.81
2022-01-05 17:00:00,22.630123456790123,60.883086419753084,20.93,72.78,21.02,72.78,20.97,73.49
2022-01-05 18:00:00,20.63,74.2,20.64,73.94,20.56,74.07,20.4,75.2
2022-01-05 19:00:00,22.605731707317073,61.04548780487804,20.43,74.4,20.56,74.23,20.22,75.75
2022-01-05 20:00:00,22.605731707317073,61.04548780487804,20.19,75.03,20.35,74.67,22.023796296296293,62.640833333333326
2022-01-05 21:00:00,19.79,76.15,19.75,75.97,19.9,75.43,19.47,77.41
2022-01-05 22:00:00,22.571807228915663,61.22746987951806,19.89,74.8,20.02,74.3,19.76,76.11
2022-01-05 23:00:00,22.571807228915663,61.22746987951806,20.35,74.16,20.44,73.77,19.86,76.68
2022-01-06 00:00:00,22.571807228915663,61.22746987951806,20.5,74.57,20.56,73.91,20.37,75.34
2022-01-06 01:00:00,19.85,78.93,19.51,78.92,19.31,79.03,19.26,79.93
2022-01-06 02:00:00,22.03,72.43,22.42,71.55,21.3,74.19,21.34,76.19
2022-01-06 03:00:00,24.07,65.13,23.61,66.3,23.25,67.2,23.61,66.36
2022-01-06 04:00:00,26.06,60.83,25.27,62.09,24.75,63.09,25.02,63.43
2022-01-06 05:00:00,28.17,55.51,27.53,57.07,26.49,57.38,27.0,55.81
2022-01-06 06:00:00,29.85,48.27,29.33,49.51,28.3,49.4,28.88,48.35
2022-01-06 07:00:00,30.06,45.58,30.35,44.55,29.55,45.59,30.47,44.85
2022-01-06 08:00:00,23.29,72.0,23.07,69.72,23.36,67.54,27.22,56.2
2022-01-06 09:00:00,24.8,75.47,24.54,78.39,24.1,77.15,22.86,81.27
2022-01-06 10:00:00,28.0,59.8,27.38,62.35,27.64,58.7,27.28,63.69
2022-01-06 11:00:00,28.78,55.02,28.0,56.75,28.04,56.67,27.91,56.93
2022-01-06 12:00:00,22.96191489361702,61.392021276595756,28.77,52.92,28.72,53.37,28.49,54.18
2022-01-06 13:00:00,27.63,57.03,26.85,60.0,26.87,60.42,27.06,61.06
2022-01-06 14:00:00,26.92,53.34,26.87,53.15,22.249375,63.33242187500001,26.79,54.1
2022-01-06 15:00:00,25.89,55.6,26.03,54.99,25.77,55.52,25.77,55.4
2022-01-06 16:00:00,24.83,58.58,24.96,57.68,24.82,58.07,24.86,58.05
2022-01-06 17:00:00,23.098877551020408,61.17755102040816,23.72,62.98,23.86,62.71,23.97,62.19
2022-01-06 18:00:00,22.94,66.2,22.77,66.12,23.05,65.42,23.13,65.44
2022-01-06 19:00:00,22.19,68.11,22.34,67.7,22.33,67.56,22.4,67.63
2022-01-06 20:00:00,22.12,68.2,22.22,67.32,22.08,68.03,22.453053435114505,62.91458015267174
2022-01-06 21:00:00,21.83,68.05,21.97,67.41,21.89,67.89,22.453053435114505,62.91458015267174
2022-01-06 22:00:00,23.066372549019608,61.430980392156854,21.99,67.31,21.91,68.16,21.7,69.02
2022-01-06 23:00:00,21.73,68.37,21.8,67.77,21.7,68.25,21.77,68.27
2022-01-07 00:00:00,21.83,68.31,21.9,67.64,21.77,68.44,21.75,68.74
2022-01-07 01:00:00,22.67,67.1,22.43,67.13,22.09,68.1,21.92,68.67
2022-01-07 02:00:00,23.038095238095238,61.616571428571426,23.79,63.35,23.5,64.14,23.91,64.42
2022-01-07 03:00:00,23.38,66.12,23.38,65.06,23.29,66.04,23.29,65.83
2022-01-07 04:00:00,22.4,72.33,22.42,71.31,22.23,71.78,22.45,71.31
2022-01-07 05:00:00,23.32,74.32,22.637464788732398,62.58485915492958,22.91,76.07,22.82,77.05
2022-01-07 06:00:00,23.037962962962965,61.87509259259259,23.76,71.9,23.57,73.34,23.46,73.92
2022-01-07 07:00:00,19.64,83.29,19.39,81.73,20.33,82.29,20.78,81.65
2022-01-07 08:00:00,23.57,80.71,23.4,82.34,23.04,82.91,22.57,86.3
2022-01-07 09:00:00,24.45,71.36,23.99,71.83,23.96,70.98,24.41,72.47
2022-01-07 10:00:00,23.024864864864867,62.32315315315314,24.79,62.8,25.17,57.55,25.61,63.9
2022-01-07 11:00:00,20.96,77.58,22.8,77.68,22.37,74.26,22.52,72.67
2022-01-07 12:00:00,20.52,86.17,20.56,86.87,20.74,85.91,20.32,88.18
2022-01-07 13:00:00,21.96,83.19,20.58,87.71,20.82,86.33,20.51,89.56
2022-01-07 14:00:00,22.975438596491227,62.849210526315794,20.58,82.83,21.05,79.61,21.02,81.0
2022-01-07 15:00:00,19.84,85.62,19.78,85.6,19.92,85.62,20.16,85.36
2022-01-07 16:00:00,18.73,88.67,18.68,89.36,18.65,89.28,18.48,90.33
2022-01-07 17:00:00,18.53,89.69,18.48,89.32,18.49,88.88,18.39,90.95
2022-01-07 18:00:00,22.874358974358977,63.49393162393162,18.75,88.41,18.93,87.39,18.58,90.46
2022-01-07 19:00:00,18.57,89.52,18.6,88.8,18.56,87.6,18.59,89.48
2022-01-07 20:00:00,22.837881355932208,63.71449152542373,18.34,90.66,18.35,90.02,18.32,92.59
2022-01-07 21:00:00,18.05,92.68,18.13,91.77,18.09,90.96,18.01,93.71
2022-01-07 22:00:00,22.797647058823532,63.957899159663874,22.43753164556962,64.66240506329113,17.91,91.73,17.71,94.45
2022-01-07 23:00:00,17.8,93.55,17.84,92.82,17.76,91.68,17.63,94.61
2022-01-08 00:00:00,17.6,93.61,17.58,92.81,17.86,91.13,22.216751592356687,65.7752229299363
2022-01-08 01:00:00,17.47,92.94,17.55,91.76,17.72,89.27,17.6,93.25
2022-01-08 02:00:00,17.2,93.04,17.23,92.17,17.26,90.99,17.01,93.66
2022-01-08 03:00:00,22.62593495934959,64.91162601626016,17.13,91.67,17.3,89.04,16.96,93.31
2022-01-08 04:00:00,17.29,91.11,17.37,90.17,17.48,87.53,17.25,90.88
2022-01-08 05:00:00,18.05,88.5,17.68,87.67,17.65,85.22,17.34,89.53
2022-01-08 06:00:00,22.546639999999996,65.30992,17.79,88.17,17.54,86.75,17.51,88.36
2022-01-08 07:00:00,22.546639999999996,65.30992,17.85,85.37,17.8,83.01,17.81,86.82
2022-01-08 08:00:00,18.64,82.74,18.16,82.13,18.05,80.42,17.88,82.37
2022-01-08 09:00:00,22.515634920634916,65.44825396825397,18.75,77.89,18.34,77.6,18.42,79.55
2022-01-08 10:00:00,22.515634920634916,65.44825396825397,19.3,76.11,18.8,73.82,19.04,75.88
2022-01-08 11:00:00,22.515634920634916,65.44825396825397,19.06,75.5,18.72,74.29,18.73,75.7
2022-01-08 12:00:00,22.515634920634916,65.44825396825397,18.84,76.62,18.63,75.89,18.49,77.51
2022-01-08 13:00:00,18.33,77.05,18.1,78.03,18.09,76.79,17.94,78.6
2022-01-08 14:00:00,18.06,78.8,17.91,79.13,17.96,78.02,17.64,79.77
2022-01-08 15:00:00,17.84,79.19,17.74,79.45,17.91,78.57,17.61,80.62
2022-01-08 16:00:00,22.412403100775194,65.74821705426356,17.6,80.09,17.69,79.56,17.47,81.0
2022-01-08 17:00:00,17.47,79.24,17.42,79.07,17.57,77.83,21.807687861271678,67.47699421965318
2022-01-08 18:00:00,16.93,80.01,16.86,80.25,16.77,79.75,16.65,81.79
2022-01-08 19:00:00,22.332824427480915,65.96007633587787,21.92634831460674,66.8176404494382,16.75,78.57,16.71,80.14
2022-01-08 20:00:00,16.68,78.35,16.66,78.27,16.7,76.88,16.52,79.68
2022-01-08 21:00:00,16.48,77.89,16.44,77.74,16.46,76.89,16.45,78.45
2022-01-08 22:00:00,22.246315789473687,66.14293233082707,16.37,77.82,16.42,77.19,16.34,78.75
2022-01-08 23:00:00,22.246315789473687,66.14293233082707,16.06,77.11,16.04,76.66,15.96,78.13
2022-01-09 00:00:00,16.19,76.01,16.06,76.08,16.02,75.63,15.94,77.26
2022-01-09 01:00:00,16.13,75.94,16.01,76.05,15.91,75.38,15.87,76.52
2022-01-09 02:00:00,22.156148148148148,66.2885925925926,16.31,75.45,16.25,75.34,16.24,76.25
2022-01-09 03:00:00,17.34,73.45,17.27,73.78,16.87,74.31,16.81,75.26
2022-01-09 04:00:00,18.33,72.71,18.09,72.6,17.59,72.8,17.53,73.52
2022-01-09 05:00:00,22.093065693430656,66.38773722627737,21.669304812834227,67.26438502673795,18.03,70.83,18.16,72.0
2022-01-09 06:00:00,22.093065693430656,66.38773722627737,19.63,68.12,18.73,69.64,19.28,68.08
2022-01-09 07:00:00,22.093065693430656,66.38773722627737,21.33,65.68,19.94,66.12,20.43,65.94
2022-01-09 08:00:00,21.01,64.82,20.77,64.04,20.04,64.8,20.27,64.26
2022-01-09 09:00:00,22.06,62.6,21.65205263157895,67.24357894736842,20.78,63.27,21.446223404255317,68.08271276595744
2022-01-09 10:00:00,21.61,64.87,20.77,66.5,20.51,66.14,20.64,65.41
2022-01-09 11:00:00,21.04,66.81,20.4,68.45,20.19,68.7,20.29,69.18
2022-01-09 12:00:00,21.65,67.62,20.36,70.66,20.23,70.55,19.95,71.43
2022-01-09 13:00:00,20.63,68.0,21.634300518134715,67.26367875647668,20.07,70.06,19.96,71.14
2022-01-09 14:00:00,22.06118881118881,66.36251748251749,19.64,71.82,19.75,71.97,19.55,72.23
2022-01-09 15:00:00,19.15,74.43,19.15,74.49,19.25,74.68,19.17,74.92
2022-01-09 16:00:00,18.42,73.58,18.28,73.91,18.55,73.41,18.38,74.54
2022-01-09 17:00:00,17.75,76.58,17.6,76.85,17.76,75.7,17.47,77.64
2022-01-09 18:00:00,17.17,78.88,17.33,78.29,17.28,77.72,17.1,79.31
2022-01-09 19:00:00,21.954013605442178,66.62115646258505,16.69,79.33,16.57,79.19,16.48,80.41
2022-01-09 20:00:00,16.21,80.7,16.3,79.92,16.18,80.0,16.16,81.02
2022-01-09 21:00:00,16.65,80.15,16.61,79.31,16.57,79.62,16.47,80.92
2022-01-09 22:00:00,21.87986577181208,66.80644295302014,16.54,79.42,16.5,79.79,16.34,80.93
2022-01-09 23:00:00,21.87986577181208,66.80644295302014,16.79,80.94,16.64,80.99,16.59,81.95
2022-01-10 00:00:00,21.87986577181208,66.80644295302014,16.47,85.22,16.36,85.09,16.43,86.09
2022-01-10 01:00:00,16.99,85.77,16.72,85.75,16.46,85.8,16.4,87.59
2022-01-10 02:00:00,18.77,80.4,18.91,80.04,17.91,82.26,17.9,84.4
2022-01-10 03:00:00,21.17,74.05,21.8,73.8,20.23,76.19,21.41,74.15
2022-01-10 04:00:00,24.08,68.34,23.89,67.24,22.57,68.59,21.158155339805823,68.89713592233011
2022-01-10 05:00:00,26.32,63.59,25.26,63.71,24.42,65.64,25.7,62.59
2022-01-10 06:00:00,25.91,65.29,25.17,65.44,24.35,67.36,24.99,65.93
2022-01-10 07:00:00,25.95,67.62,24.65,69.37,24.55,69.95,25.16,67.85
2022-01-10 08:00:00,30.15,55.04,30.2,54.28,29.2,54.09,28.49,58.6
2022-01-10 09:00:00,28.22,58.34,27.59,57.28,27.72,56.55,27.75,58.14
2022-01-10 10:00:00,22.010506329113923,66.91518987341773,27.69,59.45,27.55,59.58,27.34,60.41
2022-01-10 11:00:00,22.010506329113923,66.91518987341773,29.93,39.83,29.94,41.13,29.63,45.32
2022-01-10 12:00:00,30.06,42.14,29.08,43.09,29.11,41.75,29.32,42.2
2022-01-10 13:00:00,26.8,55.97,26.44,56.49,26.61,57.05,26.71,55.61
2022-01-10 14:00:00,22.09075,66.6919375,21.632027649769583,67.54451612903226,21.31627802690583,68.19914798206278,23.59,68.62
2022-01-10 15:00:00,22.09075,66.6919375,21.632027649769583,67.54451612903226,21.31627802690583,68.19914798206278,21.4225,68.41703703703703
2022-01-10 16:00:00,22.06,73.53,22.15,74.01,22.08,74.07,22.1,74.89
2022-01-10 17:00:00,21.4,74.98,21.26,75.09,21.28,75.77,21.22,76.2
2022-01-10 18:00:00,20.66,80.24,20.6,80.33,20.54,80.59,20.47,80.9
2022-01-10 19:00:00,20.45,83.03,20.49,83.23,20.48,82.97,20.33,84.49
2022-01-10 20:00:00,20.53,82.59,20.58,82.08,20.68,82.07,20.54,83.19
2022-01-10 21:00:00,20.01,85.35,20.07,84.91,20.06,86.0,20.09,85.86
2022-01-10 22:00:00,22.045963855421686,67.17126506024096,19.78,85.86,19.83,85.91,19.67,88.12
2022-01-10 23:00:00,22.045963855421686,67.17126506024096,19.85,82.32,20.03,81.32,19.91,84.02
2022-01-11 00:00:00,19.38,83.48,19.22,83.58,19.38,82.35,19.37,83.98
2022-01-11 01:00:00,20.3,80.64,19.67,81.58,19.68,80.45,19.67,82.43
2022-01-11 02:00:00,22.01970238095238,67.3485119047619,20.8,76.54,20.78,75.6,20.6,77.85
2022-01-11 03:00:00,22.01970238095238,67.3485119047619,22.04,70.29,21.68,70.71,21.53,72.38
2022-01-11 04:00:00,22.01970238095238,67.3485119047619,25.59,58.31,24.21,62.04,23.97,66.11
2022-01-11 05:00:00,28.25,48.34,27.9,48.46,26.54,46.77,26.87,48.36
2022-01-11 06:00:00,28.82,43.74,28.34,42.34,27.49,42.79,27.83,42.84
2022-01-11 07:00:00,29.14,43.63,29.0,43.05,28.28,42.86,28.59,42.27
2022-01-11 08:00:00,22.137543859649124,66.96058479532162,25.23,60.93,24.85,63.37,24.87,62.67
2022-01-11 09:00:00,25.68,63.72,25.63,63.39,25.21,65.47,25.59,63.41
2022-01-11 10:00:00,26.37,63.23,25.54,64.29,25.48,64.97,25.88,63.8
2022-01-11 11:00:00,25.89,65.7,25.13,68.11,25.13,68.2,25.1,67.74
2022-01-11 12:00:00,26.32,65.5,25.15,68.94,25.08,69.22,21.531610169491522,68.6847033898305
2022-01-11 13:00:00,22.227314285714286,66.9052,24.89,69.74,24.98,69.62,24.93,69.79
2022-01-11 14:00:00,22.227314285714286,66.9052,25.85,57.0,25.96,56.06,25.63,59.36
2022-01-11 15:00:00,23.91,61.11,23.92,61.1,24.17,60.2,24.27,60.29
2022-01-11 16:00:00,22.08,66.42,22.07,66.73,22.18,66.76,22.2,66.79
2022-01-11 17:00:00,22.23598870056497,66.86971751412429,21.01,70.5,21.12,70.27,21.09,70.58
2022-01-11 18:00:00,20.2,72.68,20.22,73.28,20.33,73.85,20.24,74.15
2022-01-11 19:00:00,19.69,74.83,19.68,75.17,19.73,75.38,19.62,75.97
2022-01-11 20:00:00,19.35,77.29,19.28,77.86,19.37,77.75,19.26,78.87
2022-01-11 21:00:00,18.91,79.8,18.77,80.81,19.04,80.2,18.91,81.3
2022-01-11 22:00:00,22.17635359116022,67.07480662983426,18.65,81.97,18.83,81.11,18.66,82.87
2022-01-11 23:00:00,22.17635359116022,67.07480662983426,18.68,82.09,18.79,81.58,18.63,83.19
2022-01-12 00:00:00,22.17635359116022,67.07480662983426,19.19,80.6,19.24,79.95,18.93,82.07
2022-01-12 01:00:00,20.75,76.73,20.33,77.14,20.44,76.56,20.05,79.1
2022-01-12 02:00:00,21.81,73.92,21.62,74.17,21.26,74.32,21.05,76.68
